"Heading","CUI","Semantic Type", "Preferred Name"
"\Table 4 Drugs Tested in In Vitro Binding or In Vivo Drug Interaction Testing or With Post-Marketing Reports\","C0039224|C0013227|C3687832|C1706073|C1706074|C0392366|C0021135|C1145667|C1167622|C1533691|C2827718|C1515655|C0038577|C1704675|C0678798|C0039593|C0687133|C0687676|C0024826|C1704687|C0684224|C0700287|C3273238|C3889645","[mnob]|[phsu]|[topp]|[mnob]|[inpr]|[inpr]|[inpr]|[acty]|[moft]|[qlco]|[ftcn]|[spco]|[lbpr]|[ftcn]|[fndg]|[ftcn]|[moft]|[tmco]|[ocac]|[mnob]|[inpr]|[hlca]|[inpr]|[inpr]","Table - furniture|Pharmaceutical Preparations|Drugs|Table Device Component|Data Table|Tests (qualifier value)|In Vitro [Publication Type]|Binding action|Binding (Molecular Function)|in vitro|In Vitro Route of Administration|in vivo|Substance Abuse Detection|Interaction|Adverse drug interaction|Testing|Drug Interactions|Post|Marketing|Post Device Component|Report (document)|Reporting|Regulatory Report|Clinical Trial Final Report"
"\Theophylline\","C0039771","[bacs, orch, phsu]","Theophylline"
"\Tizanidine \","C0146011","[orch, phsu]","tizanidine"
"847","","",""
"* The interaction between nevirapine and the drug was evaluated in a clinical study. ","C1704675|C0132326|C0013227|C1254351|C0220825|C0008972","[ftcn]|[orch, phsu]|[phsu]|[phsu]|[hlca]|[resa]","Interaction|Nevirapine|Pharmaceutical Preparations|Pharmacologic Substance|Evaluation|Clinical Research"
"* The interaction between nevirapine and the drug was evaluated in a clinical study. ","C1704675|C0132326|C0013227|C1254351|C0220825|C0008972","[ftcn]|[orch, phsu]|[phsu]|[phsu]|[hlca]|[resa]","Interaction|Nevirapine|Pharmaceutical Preparations|Pharmacologic Substance|Evaluation|Clinical Research""All other drug interactions shown are predicted.\","C0687133|C1547282|C0681842|C1882327","[ftcn]|[orch, phsu]|[phsu]|[phsu]|[hlca]|[resa][moft]|[anim]|[idcn]|[qnco]","Interaction|Nevirapine|Pharmaceutical Preparations|Pharmacologic Substance|Evaluation|Clinical ResearchDrug Interactions|Show|prediction|Percent of Predicted Value"
"? levonorgestrel","C0023566","[horm, orch, phsu]","Levonorgestrel"
"Adenosine","C0001443","[bacs, nnon, phsu]","Adenosine"
"albuterol, systemic and\inhaled","C0001927|C0205373|C0004048","[orch, phsu]|[ftcn]|[orgf]","Albuterol|Systemic|Inspiration function"
"albuterol,  systemic and inhaled","C0001927|C0205373|C0004048","[orch, phsu]|[ftcn]|[orgf]","Albuterol|Systemic|Inspiration function"
"AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide","C0332257|C0021966|C0021968|C0885449|C2348268|C0332256|C2700400|C2930749","[ftcn]|[inch]|[elii, phsu]|[phsu]|[elii]|[ftcn]|[acty]|[irda]","Including (qualifier)|Iodides|Iodine|Iodine, Homeopathic preparation|Dietary Iodine|Containing (qualifier)|Contain (action)|Radiographic contrast media"
"AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide","C0332257|C0021966|C0021968|C0885449|C2348268|C0332256|C2700400|C2930749","[ftcn]|[inch]|[elii, phsu]|[phsu]|[elii]|[ftcn]|[acty]|[irda]","Including (qualifier)|Iodides|Iodine|Iodine, Homeopathic preparation|Dietary Iodine|Containing (qualifier)|Contain (action)|Radiographic contrast media"
"Aminoglutethimide Amiodarone Iodide (including iodine-containing Radiographic contrast agents) Lithium Methimazole Propylthioracil (PTU) Sulfonamides Tolbutamide","C0002555|C0002598|C0021966|C0332257|C0021968|C0885449|C2348268|C0332256|C2700400|C2930749|C0023870|C0025644|C3540800|C0038760|C0040374|C0599503|C3539179|C3539184|C3541962|C3541963","[orch, phsu]|[orch, phsu]|[inch]|[ftcn]|[elii, phsu]|[phsu]|[elii]|[ftcn]|[acty]|[irda]|[elii, phsu]|[orch, phsu]|[phsu]|[orch]|[orch, phsu]|[antb, orch]|[orch, phsu]|[orch]|[orch, phsu]|[orch, phsu]","Aminoglutethimide|Amiodarone|Iodides|Including (qualifier)|Iodine|Iodine, Homeopathic preparation|Dietary Iodine|Containing (qualifier)|Contain (action)|Radiographic contrast media|Lithium|Methimazole|Lithium antipsychotics|Sulfonamides|Tolbutamide|Sulfonamide Anti-Infective Agents|Sulfonamides, Gynecological|Sulfonamides, topical|Sulfonamides, ophthalmologic antiinfectives|Sulfonamides, intestinal antiinfectives"
"AminoglutethimideAmiodaroneIodide (including iodine-containingRadiographic contrast agents)LithiumMethimazolePropylthiouracil (PTU)SulfonamidesTolbutamide","C0332257|C0021966|C0009924|C0021968|C0885449|C2348268","[ftcn]|[inch]|[irda]|[elii, phsu]|[phsu]|[elii]","Including (qualifier)|Iodides|Contrast Media|Iodine|Iodine, Homeopathic preparation|Dietary Iodine"
"AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide","C0332257|C0021966|C0021968|C0885449|C2348268|C0332256|C2700400|C2930749","[ftcn]|[inch]|[elii, phsu]|[phsu]|[elii]|[ftcn]|[acty]|[irda]","Including (qualifier)|Iodides|Iodine|Iodine, Homeopathic preparation|Dietary Iodine|Containing (qualifier)|Contain (action)|Radiographic contrast media"
"AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)","C0242889|C2757018|C0033497|C0439422|C0017710|C3540777|C3540778|C0985346|C0332173|C0439228|C0439505|C0033511","[phsu]|[moft]|[orch, phsu]|[qnco]|[horm, orch]|[horm, orch, phsu]|[orch, phsu]|[clnd]|[tmco]|[tmco]|[tmco]|[nnon, phsu]","Adrenergic Antagonists|Adrenergic Antagonists [MoA]|Propranolol|milligram/day|Glucocorticoids|Glucocorticoids, Systemic|Glucocorticoid inhalants for obstructive airway disease|Dexamethasone 4 MG|Daily|day|per day|Propylthiouracil"
"AmiodaroneIodide (including iodine-containing Radiographic contrast agents)","C0332257|C0021966|C0021968|C0885449|C2348268|C0332256|C2700400|C2930749","[ftcn]|[inch]|[elii, phsu]|[phsu]|[elii]|[ftcn]|[acty]|[irda]","Including (qualifier)|Iodides|Iodine|Iodine, Homeopathic preparation|Dietary Iodine|Containing (qualifier)|Contain (action)|Radiographic contrast media"
"AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)","C0242889|C2757018|C0033497|C0439422|C0017710|C3540777|C3540778|C0985346|C0332173|C0439228|C0439505|C0033511","[phsu]|[moft]|[orch, phsu]|[qnco]|[horm, orch]|[horm, orch, phsu]|[orch, phsu]|[clnd]|[tmco]|[tmco]|[tmco]|[nnon, phsu]","Adrenergic Antagonists|Adrenergic Antagonists [MoA]|Propranolol|milligram/day|Glucocorticoids|Glucocorticoids, Systemic|Glucocorticoid inhalants for obstructive airway disease|Dexamethasone 4 MG|Daily|day|per day|Propylthiouracil"
"AmiodaroneIodide (including iodine-containing Radiographic contrast agents)","C0332257|C0021966|C0021968|C0885449|C2348268|C0332256|C2700400|C2930749","[ftcn]|[inch]|[elii, phsu]|[phsu]|[elii]|[ftcn]|[acty]|[irda]","Including (qualifier)|Iodides|Iodine|Iodine, Homeopathic preparation|Dietary Iodine|Containing (qualifier)|Contain (action)|Radiographic contrast media"
"Amiodarone Beta-adrenergic antagonists - (e.g., Propranolol > 160 mg/day) Glucocorticoids -(e.g., Dexamethasone ? 4 mg/day) Propylthiouracil (PTU)","C0002598|C0001645|C0178504|C2757061|C0033497|C0439422|C0017710|C3540777|C3540778|C0985346|C0332173|C0439228|C0439505|C0033511","[orch, phsu]|[phsu]|[phsu]|[moft]|[orch, phsu]|[qnco]|[horm, orch]|[horm, orch, phsu]|[orch, phsu]|[clnd]|[tmco]|[tmco]|[tmco]|[nnon, phsu]","Amiodarone|Adrenergic beta-Antagonists|beta antiadrenergic agent|Adrenergic beta-Antagonists [MoA]|Propranolol|milligram/day|Glucocorticoids|Glucocorticoids, Systemic|Glucocorticoid inhalants for obstructive airway disease|Dexamethasone 4 MG|Daily|day|per day|Propylthiouracil"
"Amiodarone Iodide (including iodine-containing Radiographic contrast agents)","C0002598|C0021966|C0332257|C0021968|C0885449|C2348268|C0332256|C2700400|C2930749","[orch, phsu]|[inch]|[ftcn]|[elii, phsu]|[phsu]|[elii]|[ftcn]|[acty]|[irda]","Amiodarone|Iodides|Including (qualifier)|Iodine|Iodine, Homeopathic preparation|Dietary Iodine|Containing (qualifier)|Contain (action)|Radiographic contrast media"
"Amiodarone,amlodipine,ranolazine","C0002598|C0051696|C0073633","[orch, phsu]|[orch, phsu]|[orch, phsu]","Amiodarone|Amlodipine|ranolazine"
"AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids- (e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)","C0242889|C2757018|C0033497|C0439422|C0017710|C3540777|C3540778|C0985346|C0332173|C0439228|C0439505|C0033511","[phsu]|[moft]|[orch, phsu]|[qnco]|[horm, orch]|[horm, orch, phsu]|[orch, phsu]|[clnd]|[tmco]|[tmco]|[tmco]|[nnon, phsu]","Adrenergic Antagonists|Adrenergic Antagonists [MoA]|Propranolol|milligram/day|Glucocorticoids|Glucocorticoids, Systemic|Glucocorticoid inhalants for obstructive airway disease|Dexamethasone 4 MG|Daily|day|per day|Propylthiouracil"
"AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)","C0242889|C2757018|C0033497|C0439422|C0017710|C3540777|C3540778|C0985346|C0332173|C0439228|C0439505|C0033511","[phsu]|[moft]|[orch, phsu]|[qnco]|[horm, orch]|[horm, orch, phsu]|[orch, phsu]|[clnd]|[tmco]|[tmco]|[tmco]|[nnon, phsu]","Adrenergic Antagonists|Adrenergic Antagonists [MoA]|Propranolol|milligram/day|Glucocorticoids|Glucocorticoids, Systemic|Glucocorticoid inhalants for obstructive airway disease|Dexamethasone 4 MG|Daily|day|per day|Propylthiouracil"
"AmiodaroneIodide (including iodine-containingRadiographic contrast agents)","C0332257|C0021966|C0009924|C0021968|C0885449|C2348268","[ftcn]|[inch]|[irda]|[elii, phsu]|[phsu]|[elii]","Including (qualifier)|Iodides|Contrast Media|Iodine|Iodine, Homeopathic preparation|Dietary Iodine"
"AmiodaroneIodide (including iodine-containing Radiographic contrast agents)","C0332257|C0021966|C0021968|C0885449|C2348268|C0332256|C2700400|C2930749","[ftcn]|[inch]|[elii, phsu]|[phsu]|[elii]|[ftcn]|[acty]|[irda]","Including (qualifier)|Iodides|Iodine|Iodine, Homeopathic preparation|Dietary Iodine|Containing (qualifier)|Contain (action)|Radiographic contrast media"
"Amlodipine\									Aspirin\									Atorvastatin\									Calcitriol\									Clopidogrel\									Digoxin\									Diltiazem\									Doxercalciferol\									Enalapril\									Fluvastatin\									Glimepiride\									Levofloxacin\									Losartan\									Metoprolol\									Pravastatin\									Propranolol\									Sitagliptin\									Warfarin\","C1329978|C0004057|C0006674|C0070166|C0012265|C0717708|C0043668|C0082608|C0061323|C0282386|C0126174|C0025859|C0085542|C0033497|C1565750|C0043031|C3714610|C0051696|C1329980|C0286651","[orch, phsu]|[orch, phsu]|[horm, phsu, vita]|[orch, phsu]|[orch, phsu]|[orch, phsu]|[orch, phsu, vita]|[orch, phsu]|[orch, phsu]|[antb, orch]|[orch, phsu]|[orch, phsu]|[orch, phsu]|[orch, phsu]|[orch, phsu]|[hops, orch, phsu]|[phsu, vita]|[orch, phsu]|[orch, phsu]|[orch, phsu]","Amlodipine / atorvastatin|Aspirin|Calcitriol|clopidogrel|Digoxin|Diltiazem / Enalapril|Doxercalciferol|fluvastatin|glimepiride|Levofloxacin|Losartan|Metoprolol|Pravastatin|Propranolol|sitagliptin|Warfarin|Calcitriol Drug Class|Amlodipine|Aspirin / Pravastatin|atorvastatin"
"Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products)","C0003138|C0038633|C0301532|C3714835|C1514468|C0332256|C2700400|C0007447|C0024467|C0304540|C2348270|C3540792|C3714621|C0032521|C4020599|C1707959|C0718050|C0768119|C0592249|C0012133|C0304290|C0006353|C0030755|C0032861|C1382110|C1521725|C0205250|C0013227|C3687832|C0006675|C0006726|C2936886|C3540037|C3714611|C0302583|C0376520|C1166521|C3714701|C0043481|C2348288|C3541396|C3714650|C0010947","[phsu]|[orch, phsu]|[orch, phsu, vita]|[phsu, vita]|[enty]|[ftcn]|[acty]|[chvs]|[elii]|[inch, phsu]|[elii]|[inch, phsu]|[phsu]|[bodm, chvs]|[phsu]|[cnce]|[orch, phsu]|[orch, phsu]|[nnon, phsu]|[nnon, phsu]|[bodm]|[irda, phsu]|[bmod]|[bodm]|[sbst]|[qlco]|[qlco]|[phsu]|[topp]|[bacs, elii, phsu]|[inch]|[phsu]|[phsu, vita]|[phsu]|[bacs, elii, phsu]|[inch]|[phsu]|[phsu]|[elii, phsu]|[elii]|[phsu]|[phsu]|[food]","Antacids|Sucralfate|Multivitamin preparation|Multivitamin Drug Class|product|Containing (qualifier)|Contain (action)|Cations|Magnesium|Aluminum-based antacid|Dietary Magnesium|Magnesium supplements|Magnesium Drug Class|Polymers|Phosphate Binders|Example|sevelamer|lanthanum carbonate|Videx|Didanosine|Chewable Tablet|Buffers|Pediatrics|Powder dose form|powder physical state|Pediatric|High|Pharmaceutical Preparations|Drugs|Calcium|Calcium, Dietary|Calcium [EPC]|CALCIUM SUPPLEMENTS|Calcium Drug Class|Iron|Dietary Iron|Ferrum metallicum, Homeopathic preparation|Iron Drug Class|Zinc|Dietary Zinc|Zinc Supplements|Zinc Drug Class|Dairy Products"
"Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products)","C0003138|C0038633|C0301532|C3714835|C1514468|C0332256|C2700400|C0007447|C0024467|C0304540|C2348270|C3540792|C3714621|C0032521|C4020599|C1707959|C0718050|C0768119|C0592249|C0012133|C0304290|C0006353|C0030755|C0032861|C1382110|C1521725|C0205250|C0013227|C3687832|C0006675|C0006726|C2936886|C3540037|C3714611|C0302583|C0376520|C1166521|C3714701|C0043481|C2348288|C3541396|C3714650|C0010947","[phsu]|[orch, phsu]|[orch, phsu, vita]|[phsu, vita]|[enty]|[ftcn]|[acty]|[chvs]|[elii]|[inch, phsu]|[elii]|[inch, phsu]|[phsu]|[bodm, chvs]|[phsu]|[cnce]|[orch, phsu]|[orch, phsu]|[nnon, phsu]|[nnon, phsu]|[bodm]|[irda, phsu]|[bmod]|[bodm]|[sbst]|[qlco]|[qlco]|[phsu]|[topp]|[bacs, elii, phsu]|[inch]|[phsu]|[phsu, vita]|[phsu]|[bacs, elii, phsu]|[inch]|[phsu]|[phsu]|[elii, phsu]|[elii]|[phsu]|[phsu]|[food]","Antacids|Sucralfate|Multivitamin preparation|Multivitamin Drug Class|product|Containing (qualifier)|Contain (action)|Cations|Magnesium|Aluminum-based antacid|Dietary Magnesium|Magnesium supplements|Magnesium Drug Class|Polymers|Phosphate Binders|Example|sevelamer|lanthanum carbonate|Videx|Didanosine|Chewable Tablet|Buffers|Pediatrics|Powder dose form|powder physical state|Pediatric|High|Pharmaceutical Preparations|Drugs|Calcium|Calcium, Dietary|Calcium [EPC]|CALCIUM SUPPLEMENTS|Calcium Drug Class|Iron|Dietary Iron|Ferrum metallicum, Homeopathic preparation|Iron Drug Class|Zinc|Dietary Zinc|Zinc Supplements|Zinc Drug Class|Dairy Products"
"Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products) \","C0003138|C0038633|C0301532|C3714835|C1514468|C0332256|C2700400|C0007447|C0024467|C0304540|C2348270|C3540792|C3714621|C0032521|C4020599|C1707959|C0718050|C0768119|C0592249|C0012133|C0304290|C0006353|C0030755|C0032861|C1382110|C1521725|C0205250|C0013227|C3687832|C0006675|C0006726|C2936886|C3540037|C3714611|C0302583|C0376520|C1166521|C3714701|C0043481|C2348288|C3541396|C3714650|C0010947","[phsu]|[orch, phsu]|[orch, phsu, vita]|[phsu, vita]|[enty]|[ftcn]|[acty]|[chvs]|[elii]|[inch, phsu]|[elii]|[inch, phsu]|[phsu]|[bodm, chvs]|[phsu]|[cnce]|[orch, phsu]|[orch, phsu]|[nnon, phsu]|[nnon, phsu]|[bodm]|[irda, phsu]|[bmod]|[bodm]|[sbst]|[qlco]|[qlco]|[phsu]|[topp]|[bacs, elii, phsu]|[inch]|[phsu]|[phsu, vita]|[phsu]|[bacs, elii, phsu]|[inch]|[phsu]|[phsu]|[elii, phsu]|[elii]|[phsu]|[phsu]|[food]","Antacids|Sucralfate|Multivitamin preparation|Multivitamin Drug Class|product|Containing (qualifier)|Contain (action)|Cations|Magnesium|Aluminum-based antacid|Dietary Magnesium|Magnesium supplements|Magnesium Drug Class|Polymers|Phosphate Binders|Example|sevelamer|lanthanum carbonate|Videx|Didanosine|Chewable Tablet|Buffers|Pediatrics|Powder dose form|powder physical state|Pediatric|High|Pharmaceutical Preparations|Drugs|Calcium|Calcium, Dietary|Calcium [EPC]|CALCIUM SUPPLEMENTS|Calcium Drug Class|Iron|Dietary Iron|Ferrum metallicum, Homeopathic preparation|Iron Drug Class|Zinc|Dietary Zinc|Zinc Supplements|Zinc Drug Class|Dairy Products"
"Anticonvulsants:Carbamazepine,clonazepam, ethosuximide\","C0003286|C0006949|C0682993|C0009011|C0015043","[phsu]|[orch, phsu]|[orch]|[orch, phsu]|[orch, phsu]","Anticonvulsants|Carbamazepine|carbamazepin|Clonazepam|Ethosuximide"
"Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)","C0003290|C0002600|C0024778|C0360105|C0074393","[phsu]|[orch, phsu]|[orch, phsu]|[phsu]|[orch, phsu]","Tricyclic Antidepressive Agents|Amitriptyline|Maprotiline|Selective Serotonin Reuptake Inhibitors|Sertraline"
"Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)","C0003290|C0002600|C0024778|C0360105|C0074393","[phsu]|[orch, phsu]|[orch, phsu]|[phsu]|[orch, phsu]","Tricyclic Antidepressive Agents|Amitriptyline|Maprotiline|Selective Serotonin Reuptake Inhibitors|Sertraline"
"Antidepressants - Tricyclics (e.g., Amitriptyline) - Tetracyclics (e.g., Maprotiline) - Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)","C0003290|C0002600|C0024778|C0360105|C0074393","[phsu]|[orch, phsu]|[orch, phsu]|[phsu]|[orch, phsu]","Tricyclic Antidepressive Agents|Amitriptyline|Maprotiline|Selective Serotonin Reuptake Inhibitors|Sertraline"
"Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)","C0003290|C0002600|C0024778|C0360105|C0074393","[phsu]|[orch, phsu]|[orch, phsu]|[phsu]|[orch, phsu]","Tricyclic Antidepressive Agents|Amitriptyline|Maprotiline|Selective Serotonin Reuptake Inhibitors|Sertraline"
"Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin","C0935929|C0005382|C0065880|C0038766|C0021641|C1533581|C1579433|C3714501|C3653359|C1579432|C0360396|C3540012","[phsu]|[orch, phsu]|[orch, phsu]|[orch, phsu]|[aapp, horm, phsu]|[aapp, horm, phsu]|[phsu]|[horm, phsu]|[phsu]|[phsu]|[orch, phsu]|[orch, phsu]","Antidiabetics|Biguanides|Meglitinide|Sulfonylurea Compounds|Insulin|Recombinant Insulin|Insulin [EPC]|Insulin Drug Class|Sulfonylureas for blood glucose lowering|Meglitinides|Biguanide antimalarial|biguanide blood glucose lower drugs"
"Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin","C0935929|C0005382|C0065880|C0038766|C0021641|C1533581|C1579433|C3714501|C3653359|C1579432|C0360396|C3540012","[phsu]|[orch, phsu]|[orch, phsu]|[orch, phsu]|[aapp, horm, phsu]|[aapp, horm, phsu]|[phsu]|[horm, phsu]|[phsu]|[phsu]|[orch, phsu]|[orch, phsu]","Antidiabetics|Biguanides|Meglitinide|Sulfonylurea Compounds|Insulin|Recombinant Insulin|Insulin [EPC]|Insulin Drug Class|Sulfonylureas for blood glucose lowering|Meglitinides|Biguanide antimalarial|biguanide blood glucose lower drugs"
