'headings','words','POStags' 
'Indinavir* ','Indinavir*','NNP'
'InteractionInteraction','InteractionInteraction','NN'
"'Iodide and drugs that contain pharmacologic amounts of iodide may cause hyperthyroidism in euthyroid patients with Grave's disease previously treated with antithyroid drugs or in euthyroid patients with thyroid autonomy (e.g., multinodular goiter or hyper functioning thyroid adenoma). Hyperthyroidism may develop over several weeks and may persist for several months after therapy discontinuation. Amiodarone may induce hyperthyroidism by causing thyroiditis.'","'Iodide|and|drugs|that|contain|pharmacologic|amounts|of|iodide|may|cause|hyperthyroidism|in|euthyroid|patients|with|Grave|'s|disease|previously|treated|with|antithyroid|drugs|or|in|euthyroid|patients|with|thyroid|autonomy|(|e.g.|,|multinodular|goiter|or|hyper|functioning|thyroid|adenoma|)|.|Hyperthyroidism|may|develop|over|several|weeks|and|may|persist|for|several|months|after|therapy|discontinuation.|Amiodarone|may|induce|hyperthyroidism|by|causing|thyroiditis|.'","'NN|CC|NNS|WDT|VBP|JJ|NNS|IN|NN|MD|VB|NN|IN|JJ|NNS|IN|NN|POS|NN|RB|VBN|IN|JJ|NNS|CC|IN|JJ|NNS|IN|NN|NN|(|FW|,|JJ|NN|CC|NN|VBG|JJ|NN|)|.|NN|MD|VB|IN|JJ|NNS|CC|MD|VB|IN|JJ|NNS|IN|NN|NN|NN|MD|VB|NN|IN|VBG|NN|.'"
"'Iodide and drugs that contain pharmacological amounts of iodide may cause hyperthyroidism in euthyroid patients with Grave's disease previously treated with antithyroid drugs or in euthyroid patients with thyroid autonomy (e.g., multinodular goiter or hyperfunctioning thyroid adenoma).Hyperthyroidism may develop over several weeks and may persist for several months after therapy discontinuation.Amiodarone may induce hyperthyroidism by causing thyroiditis.'","'Iodide|and|drugs|that|contain|pharmacological|amounts|of|iodide|may|cause|hyperthyroidism|in|euthyroid|patients|with|Grave|'s|disease|previously|treated|with|antithyroid|drugs|or|in|euthyroid|patients|with|thyroid|autonomy|(|e.g.|,|multinodular|goiter|or|hyperfunctioning|thyroid|adenoma|)|.Hyperthyroidism|may|develop|over|several|weeks|and|may|persist|for|several|months|after|therapy|discontinuation.Amiodarone|may|induce|hyperthyroidism|by|causing|thyroiditis|.'","'NN|CC|NNS|WDT|VBP|JJ|NNS|IN|NN|MD|VB|NN|IN|JJ|NNS|IN|NN|POS|NN|RB|VBN|IN|JJ|NNS|CC|IN|JJ|NNS|IN|NN|NN|(|FW|,|JJ|NN|CC|JJ|NN|NN|)|NN|MD|VB|IN|JJ|NNS|CC|MD|VB|IN|JJ|NNS|IN|NN|NN|MD|VB|NN|IN|VBG|NN|.'"
'Itraconazole','Itraconazole','NN'
'Ketamine','Ketamine','NN'
'Ketoconazole*','Ketoconazole*','NNP'
'lomefloxacinmebendazole','lomefloxacinmebendazole','NN'
"'Long-term lithium therapy can result in goiter in up to 50% of patients, and either subclinical or overt hypothyroidism, each in up to 20% of patients.The fetus, neonate, elderly and euthyroid patients with underlying thyroid disease (e.g., Hashimoto's thyroiditis or with Grave's disease previously treated with radioiodine or surgery) are among those individuals who are particularly susceptible to iodine-induced hypothyroidism.Oral cholecystographic agents and amiodarone are slowly excreted, producing more prolonged hypothyroidism than parenterally administered iodinated contrast agents.Long-term aminoglutethimide therapy may minimally decrease T4 and T3 levels and increase TSH, although all values remain within normal limits in most patients.'","'Long-term|lithium|therapy|can|result|in|goiter|in|up|to|50|%|of|patients|,|and|either|subclinical|or|overt|hypothyroidism|,|each|in|up|to|20|%|of|patients.The|fetus|,|neonate|,|elderly|and|euthyroid|patients|with|underlying|thyroid|disease|(|e.g.|,|Hashimoto|'s|thyroiditis|or|with|Grave|'s|disease|previously|treated|with|radioiodine|or|surgery|)|are|among|those|individuals|who|are|particularly|susceptible|to|iodine-induced|hypothyroidism.Oral|cholecystographic|agents|and|amiodarone|are|slowly|excreted|,|producing|more|prolonged|hypothyroidism|than|parenterally|administered|iodinated|contrast|agents.Long-term|aminoglutethimide|therapy|may|minimally|decrease|T4|and|T3|levels|and|increase|TSH|,|although|all|values|remain|within|normal|limits|in|most|patients|.'","'JJ|NN|NN|MD|VB|IN|NN|IN|IN|TO|CD|NN|IN|NNS|,|CC|CC|JJ|CC|JJ|NN|,|DT|IN|IN|TO|CD|NN|IN|NN|NN|,|NN|,|JJ|CC|JJ|NNS|IN|VBG|JJ|NN|(|FW|,|NN|POS|NN|CC|IN|NN|POS|NN|RB|VBN|IN|NN|CC|NN|)|VBP|IN|DT|NNS|WP|VBP|RB|JJ|TO|JJ|JJ|JJ|NNS|CC|NN|VBP|RB|VBN|,|VBG|RBR|JJ|NN|IN|RB|VBN|VBN|NN|NN|NN|NN|MD|RB|VB|NN|CC|NN|NNS|CC|VBP|NN|,|IN|DT|NNS|VBP|IN|JJ|NNS|IN|JJS|NNS|.'"
"'Long-term lithium therapy can result in goiter in up to 50% of patients, and either subclinical or overt hypothyroidism, each in up to 20% of patients. The fetus, neonate, elderly and euthyroid patients with underlying thyroid disease (e.g., Hashimoto's thyroiditis or with Grave's disease previously treated with radioiodine or surgery) are among those individuals who are particularly susceptible to iodine-induced hypothyroidism. Oral cholecystographic agents and amiodarone are slowly excreted, producing more prolonged hypothyroidism than parenterally administered iodinated contrast agents. Long-term amino-glu-tethimide therapy may minimally decrease T4 and T3 levels and increase TSH, although all values remain within normal limits in most patients.'","'Long-term|lithium|therapy|can|result|in|goiter|in|up|to|50|%|of|patients|,|and|either|subclinical|or|overt|hypothyroidism|,|each|in|up|to|20|%|of|patients.|The|fetus|,|neonate|,|elderly|and|euthyroid|patients|with|underlying|thyroid|disease|(|e.g.|,|Hashimoto|'s|thyroiditis|or|with|Grave|'s|disease|previously|treated|with|radioiodine|or|surgery|)|are|among|those|individuals|who|are|particularly|susceptible|to|iodine-induced|hypothyroidism.|Oral|cholecystographic|agents|and|amiodarone|are|slowly|excreted|,|producing|more|prolonged|hypothyroidism|than|parenterally|administered|iodinated|contrast|agents.|Long-term|amino-glu-tethimide|therapy|may|minimally|decrease|T4|and|T3|levels|and|increase|TSH|,|although|all|values|remain|within|normal|limits|in|most|patients|.'","'JJ|NN|NN|MD|VB|IN|NN|IN|IN|TO|CD|NN|IN|NNS|,|CC|CC|JJ|CC|JJ|NN|,|DT|IN|IN|TO|CD|NN|IN|NNS|DT|NN|,|NN|,|JJ|CC|JJ|NNS|IN|VBG|JJ|NN|(|FW|,|NN|POS|NN|CC|IN|NN|POS|NN|RB|VBN|IN|NN|CC|NN|)|VBP|IN|DT|NNS|WP|VBP|RB|JJ|TO|JJ|NN|JJ|JJ|NNS|CC|NN|VBP|RB|VBN|,|VBG|RBR|JJ|NN|IN|RB|VBN|VBN|NN|NN|JJ|NN|NN|MD|RB|VB|NN|CC|NN|NNS|CC|VBP|NN|,|IN|DT|NNS|VBP|IN|JJ|NNS|IN|JJS|NNS|.'"
"'Long-term lithium therapy can result in goiter in up to 50% of patients, and either subclinical or overt hypothyroidism, each in up to 20% of patients. The fetus, neonate, elderly and euthyroid patients with underlying thyroid disease (e.g., Hashimoto's thyroiditis or with Grave's disease previously treated with radioiodine or surgery) are among those individuals who are particularly susceptible to iodine-induced hypothyroidism. Oral cholecystographic agents and amiodarone are slowly excreted, producing more prolonged hypothyroidism than parenterally administered iodinated contrast agents. Long-term amino-glu-tethimide therapy may minimally decrease T4 and T3 levels and increase TSH, although all values remain within normal limits in most patients.'","'Long-term|lithium|therapy|can|result|in|goiter|in|up|to|50|%|of|patients|,|and|either|subclinical|or|overt|hypothyroidism|,|each|in|up|to|20|%|of|patients.|The|fetus|,|neonate|,|elderly|and|euthyroid|patients|with|underlying|thyroid|disease|(|e.g.|,|Hashimoto|'s|thyroiditis|or|with|Grave|'s|disease|previously|treated|with|radioiodine|or|surgery|)|are|among|those|individuals|who|are|particularly|susceptible|to|iodine-induced|hypothyroidism.|Oral|cholecystographic|agents|and|amiodarone|are|slowly|excreted|,|producing|more|prolonged|hypothyroidism|than|parenterally|administered|iodinated|contrast|agents.|Long-term|amino-glu-tethimide|therapy|may|minimally|decrease|T4|and|T3|levels|and|increase|TSH|,|although|all|values|remain|within|normal|limits|in|most|patients|.'","'JJ|NN|NN|MD|VB|IN|NN|IN|IN|TO|CD|NN|IN|NNS|,|CC|CC|JJ|CC|JJ|NN|,|DT|IN|IN|TO|CD|NN|IN|NNS|DT|NN|,|NN|,|JJ|CC|JJ|NNS|IN|VBG|JJ|NN|(|FW|,|NN|POS|NN|CC|IN|NN|POS|NN|RB|VBN|IN|NN|CC|NN|)|VBP|IN|DT|NNS|WP|VBP|RB|JJ|TO|JJ|NN|JJ|JJ|NNS|CC|NN|VBP|RB|VBN|,|VBG|RBR|JJ|NN|IN|RB|VBN|VBN|NN|NN|JJ|NN|NN|MD|RB|VB|NN|CC|NN|NNS|CC|VBP|NN|,|IN|DT|NNS|VBP|IN|JJ|NNS|IN|JJS|NNS|.'"
"'Long-term lithium therapy can result in goiter in up to 50% of patients, and either subclinical or overt hypothyroidism, each in up to 20% of patients. The fetus, neonate, elderly and euthyroid patients with underlying thyroid disease (e.g., Hashimoto's thyroiditis or with Grave's disease previously treated with radioiodine or surgery) are among those individuals who are particularly susceptible to iodine-induced hypothyroidism. Oral cholecystographic agents and amiodarone are slowly excreted, producing more prolonged hypothyroidism than parenterally administered iodinated contrast agents. Long-term amino-glu-tethimide therapy may minimally decrease T and T levels and increase TSH, although all values remain within normal limits in most patients.\4\3'","'Long-term|lithium|therapy|can|result|in|goiter|in|up|to|50|%|of|patients|,|and|either|subclinical|or|overt|hypothyroidism|,|each|in|up|to|20|%|of|patients.|The|fetus|,|neonate|,|elderly|and|euthyroid|patients|with|underlying|thyroid|disease|(|e.g.|,|Hashimoto|'s|thyroiditis|or|with|Grave|'s|disease|previously|treated|with|radioiodine|or|surgery|)|are|among|those|individuals|who|are|particularly|susceptible|to|iodine-induced|hypothyroidism.|Oral|cholecystographic|agents|and|amiodarone|are|slowly|excreted|,|producing|more|prolonged|hypothyroidism|than|parenterally|administered|iodinated|contrast|agents.|Long-term|amino-glu-tethimide|therapy|may|minimally|decrease|T|and|T|levels|and|increase|TSH|,|although|all|values|remain|within|normal|limits|in|most|patients.\4\3'","'JJ|NN|NN|MD|VB|IN|NN|IN|IN|TO|CD|NN|IN|NNS|,|CC|CC|JJ|CC|JJ|NN|,|DT|IN|IN|TO|CD|NN|IN|NNS|DT|NN|,|NN|,|JJ|CC|JJ|NNS|IN|VBG|JJ|NN|(|FW|,|NN|POS|NN|CC|IN|NN|POS|NN|RB|VBN|IN|NN|CC|NN|)|VBP|IN|DT|NNS|WP|VBP|RB|JJ|TO|JJ|NN|JJ|JJ|NNS|CC|NN|VBP|RB|VBN|,|VBG|RBR|JJ|NN|IN|RB|VBN|VBN|NN|NN|JJ|NN|NN|MD|RB|VB|NN|CC|NN|NNS|CC|VBP|NN|,|IN|DT|NNS|VBP|IN|JJ|NNS|IN|JJS|NN'"
"'Long-term lithium therapy can result in goiter in up to 50% of patients, and either subclinical or overt hypothyroidism, each in up to 20% of patients. The fetus, neonate, elderly and euthyroid patients with underlying thyroid disease (e.g., Hashimoto's thyroiditis or with Grave's disease previously treated with radioiodine or surgery) are among those individuals who are particularly susceptible to iodine-induced hypothyroidism. Oral cholecystographic agents and amiodarone are slowly excreted, producing more prolonged hypothyroidism than parenterally administered iodinated contrast agents. Long-term amino-glu-tethimide therapy may minimally decrease T4 and T3 levels and increase TSH, although all values remain within normal limits in most patients.'","'Long-term|lithium|therapy|can|result|in|goiter|in|up|to|50|%|of|patients|,|and|either|subclinical|or|overt|hypothyroidism|,|each|in|up|to|20|%|of|patients.|The|fetus|,|neonate|,|elderly|and|euthyroid|patients|with|underlying|thyroid|disease|(|e.g.|,|Hashimoto|'s|thyroiditis|or|with|Grave|'s|disease|previously|treated|with|radioiodine|or|surgery|)|are|among|those|individuals|who|are|particularly|susceptible|to|iodine-induced|hypothyroidism.|Oral|cholecystographic|agents|and|amiodarone|are|slowly|excreted|,|producing|more|prolonged|hypothyroidism|than|parenterally|administered|iodinated|contrast|agents.|Long-term|amino-glu-tethimide|therapy|may|minimally|decrease|T4|and|T3|levels|and|increase|TSH|,|although|all|values|remain|within|normal|limits|in|most|patients|.'","'JJ|NN|NN|MD|VB|IN|NN|IN|IN|TO|CD|NN|IN|NNS|,|CC|CC|JJ|CC|JJ|NN|,|DT|IN|IN|TO|CD|NN|IN|NNS|DT|NN|,|NN|,|JJ|CC|JJ|NNS|IN|VBG|JJ|NN|(|FW|,|NN|POS|NN|CC|IN|NN|POS|NN|RB|VBN|IN|NN|CC|NN|)|VBP|IN|DT|NNS|WP|VBP|RB|JJ|TO|JJ|NN|JJ|JJ|NNS|CC|NN|VBP|RB|VBN|,|VBG|RBR|JJ|NN|IN|RB|VBN|VBN|NN|NN|JJ|NN|NN|MD|RB|VB|NN|CC|NN|NNS|CC|VBP|NN|,|IN|DT|NNS|VBP|IN|JJ|NNS|IN|JJS|NNS|.'"
'Lopinavir/Ritonavir*','Lopinavir/Ritonavir*','NNP'
'Mean Ratio of\Co-administered Drug\Pharmacokinetic Parameters90% CI; No effect = 1.00','Mean|Ratio|of\Co-administered|Drug\Pharmacokinetic|Parameters90|%|CI|;|No|effect|=|1.00','NNP|NNP|JJ|JJ|NN|NN|NN|:|DT|NN|SYM|CD'
'Mean Ratio of Etravirine\Pharmacokinetic Parameters90% CI; No Effect = 1.00','Mean|Ratio|of|Etravirine\Pharmacokinetic|Parameters90|%|CI|;|No|Effect|=|1.00','NNP|NNP|IN|JJ|NN|NN|NN|:|DT|NN|SYM|CD'
'medroxyprogesterone','medroxyprogesterone','NN'
'Methadone levels were decreased; increased dosages may be required to prevent symptoms of opiate withdrawal. Methadone-maintained patients beginning nevirapine therapy should be monitored for evidence of withdrawal and methadone dose should be adjusted accordingly.','Methadone|levels|were|decreased|;|increased|dosages|may|be|required|to|prevent|symptoms|of|opiate|withdrawal.|Methadone-maintained|patients|beginning|nevirapine|therapy|should|be|monitored|for|evidence|of|withdrawal|and|methadone|dose|should|be|adjusted|accordingly|.','NN|NNS|VBD|VBN|:|VBN|NNS|MD|VB|VBN|TO|VB|NNS|IN|JJ|IN|JJ|NNS|VBG|NN|NN|MD|VB|VBN|IN|NN|IN|NN|CC|NN|NN|MD|VB|VBN|RB|.'
"'Methylxanthine Bronchodilators- (e.g., Theophylline)'","'Methylxanthine|Bronchodilators-|(|e.g.|,|Theophylline|)'","'NN|NN|(|FW|,|NN|)'"
"'Methylxanthine Bronchodilators- (e.g., Theophylline)'","'Methylxanthine|Bronchodilators-|(|e.g.|,|Theophylline|)'","'NN|NN|(|FW|,|NN|)'"
"'Methylxanthine Bronchodilators - (e.g., Theophylline)'","'Methylxanthine|Bronchodilators|-|(|e.g.|,|Theophylline|)'","'NN|NNS|:|(|FW|,|NN|)'"
"'Methylxanthine Bronchodilators- (e.g., Theophylline)'","'Methylxanthine|Bronchodilators-|(|e.g.|,|Theophylline|)'","'NN|NN|(|FW|,|NN|)'"
'Mitotane','Mitotane','NNP'
'Monitor for sildenafil toxicity (see Pharmacokinetics12.3). ','Monitor|for|sildenafil|toxicity|(|see|Pharmacokinetics12.3|)|.','NN|IN|NN|NN|(|VB|NN|)|.'
'Monitor for sildenafil toxicity (see Pharmacokinetics12.3). ','Monitor|for|sildenafil|toxicity|(|see|Pharmacokinetics12.3|)|.','NN|IN|NN|NN|(|VB|NN|)|.'
'Monitor for sildenafil toxicity (see  ).\Pharmacokinetics\12.3','Monitor|for|sildenafil|toxicity|(|see|)|.\Pharmacokinetics\12.3','NN|IN|NN|NN|(|VB|)|.'
'Monitor renal function (in particular serum creatinine) when ciprofloxacin is co-administered with cyclosporine.','Monitor|renal|function|(|in|particular|serum|creatinine|)|when|ciprofloxacin|is|co-administered|with|cyclosporine|.','NN|JJ|NN|(|IN|JJ|NN|NN|)|WRB|NN|VBZ|VBN|IN|NN|.'
'Monitoring for ropinirole-related adverse reactions and appropriate dose adjustment of ropinirole is recommended during and shortly after co-administration with ciprofloxacin[see Warnings and Precautions (5.15)]. ','Monitoring|for|ropinirole-related|adverse|reactions|and|appropriate|dose|adjustment|of|ropinirole|is|recommended|during|and|shortly|after|co-administration|with|ciprofloxacin|[|see|Warnings|and|Precautions|(|5.15|)|]|.','VBG|IN|JJ|JJ|NNS|CC|JJ|NN|NN|IN|NN|VBZ|VBN|IN|CC|RB|IN|NN|IN|NN|(|VB|NNS|CC|NNS|(|CD|)|)|.'
'Monitoring for ropinirole-related adverse reactions and appropriate dose adjustment of ropinirole is recommended during and shortly after co-administration with ciprofloxacin[see ( )].\Warnings and Precautions\5.15','Monitoring|for|ropinirole-related|adverse|reactions|and|appropriate|dose|adjustment|of|ropinirole|is|recommended|during|and|shortly|after|co-administration|with|ciprofloxacin|[|see|(|)|]|.\Warnings|and|Precautions\5.15','VBG|IN|JJ|JJ|NNS|CC|JJ|NN|NN|IN|NN|VBZ|VBN|IN|CC|RB|IN|NN|IN|NN|(|VB|(|)|)|NNS|CC|NN'
'Monitoring for ropinirole-related adverse reactions and appropriate dose adjustment of ropinirole is recommended during and shortly after co-administration with ciprofloxacin[see Warnings and Precautions (5.15)]. ','Monitoring|for|ropinirole-related|adverse|reactions|and|appropriate|dose|adjustment|of|ropinirole|is|recommended|during|and|shortly|after|co-administration|with|ciprofloxacin|[|see|Warnings|and|Precautions|(|5.15|)|]|.','VBG|IN|JJ|JJ|NNS|CC|JJ|NN|NN|IN|NN|VBZ|VBN|IN|CC|RB|IN|NN|IN|NN|(|VB|NNS|CC|NNS|(|CD|)|)|.'
'Motility agents: Cisapride','Motility|agents|:|Cisapride','NN|NNS|:|NN'
'Nelfinavir* ','Nelfinavir*','NNP'
'Nevirapine and boceprevir should not be coadministered because decreases in boceprevir plasma concentrations may result in a reduction in efficacy.','Nevirapine|and|boceprevir|should|not|be|coadministered|because|decreases|in|boceprevir|plasma|concentrations|may|result|in|a|reduction|in|efficacy|.','NN|CC|NN|MD|RB|VB|VBN|IN|NNS|IN|NN|NN|NNS|MD|VB|IN|DT|NN|IN|NN|.'
'Nevirapine and itraconazole should not be administered concomitantly due to potentiadecreases in itraconazole plasma concentrations that may reduce efficacy of the drug.','Nevirapine|and|itraconazole|should|not|be|administered|concomitantly|due|to|potentiadecreases|in|itraconazole|plasma|concentrations|that|may|reduce|efficacy|of|the|drug|.','NN|CC|NN|MD|RB|VB|VBN|RB|JJ|TO|NNS|IN|NN|NN|NNS|WDT|MD|VB|NN|IN|DT|NN|.'
'Nevirapine and ketoconazole should not be administered concomitantly because decreases in ketoconazole plasma concentrations may reduce the efficacy of the drug.','Nevirapine|and|ketoconazole|should|not|be|administered|concomitantly|because|decreases|in|ketoconazole|plasma|concentrations|may|reduce|the|efficacy|of|the|drug|.','NN|CC|NN|MD|RB|VB|VBN|RB|IN|NNS|IN|NN|NN|NNS|MD|VB|DT|NN|IN|DT|NN|.'
'Nevirapine and rifampin should not be administered concomitantly because decreases in nevirapine plasma concentrations may reduce the efficacy of the drug. Physicians needing to treat patients co-infected with tuberculosis and using a nevirapine-containing regimen may use rifabutin instead.','Nevirapine|and|rifampin|should|not|be|administered|concomitantly|because|decreases|in|nevirapine|plasma|concentrations|may|reduce|the|efficacy|of|the|drug.|Physicians|needing|to|treat|patients|co-infected|with|tuberculosis|and|using|a|nevirapine-containing|regimen|may|use|rifabutin|instead|.','NN|CC|NN|MD|RB|VB|VBN|RB|IN|NNS|IN|NN|NN|NNS|MD|VB|DT|NN|IN|DT|NN|NNP|VBG|TO|VB|NNS|VBN|IN|NN|CC|VBG|DT|JJ|NN|MD|VB|NN|RB|.'
"'Nevirapine and telaprevir should not be coadministered because changes in plasma concentrations of nevirapine, telaprevir, or both may be may result in a reduction in telaprevir efficacy or an increase in nevirapine-associated adverse events.'","'Nevirapine|and|telaprevir|should|not|be|coadministered|because|changes|in|plasma|concentrations|of|nevirapine|,|telaprevir|,|or|both|may|be|may|result|in|a|reduction|in|telaprevir|efficacy|or|an|increase|in|nevirapine-associated|adverse|events|.'","'NN|CC|NN|MD|RB|VB|VBN|IN|NNS|IN|NN|NNS|IN|NN|,|NN|,|CC|DT|MD|VB|MD|VB|IN|DT|NN|IN|NN|NN|CC|DT|NN|IN|JJ|JJ|NNS|.'"
'No dosing adjustments are required when nevirapine is co-administered with 700/100 mg of fosamprenavir/ritonavir twice daily. The combination of nevirapine administered with fosamprenavir/ritonavir once daily has not been studied.','No|dosing|adjustments|are|required|when|nevirapine|is|co-administered|with|700/100|mg|of|fosamprenavir/ritonavir|twice|daily.|The|combination|of|nevirapine|administered|with|fosamprenavir/ritonavir|once|daily|has|not|been|studied|.','DT|NN|NNS|VBP|VBN|WRB|NN|VBZ|VBN|IN|CD|NN|IN|NN|RB|RB|DT|NN|IN|NN|VBN|IN|NN|RB|RB|VBZ|RB|VBN|VBN|.'
'Non-steroidal anti-inflammatory drugs (but not acetyl salicylic acid) in combination of very high doses of quinolones have been shown to provoke convulsions in pre-clinical studies and in postmarketing.','Non-steroidal|anti-inflammatory|drugs|(|but|not|acetyl|salicylic|acid|)|in|combination|of|very|high|doses|of|quinolones|have|been|shown|to|provoke|convulsions|in|pre-clinical|studies|and|in|postmarketing|.','JJ|JJ|NNS|(|CC|RB|VB|JJ|NN|)|IN|NN|IN|RB|JJ|NNS|IN|NNS|VBP|VBN|VBN|TO|VB|NNS|IN|JJ|NNS|CC|IN|NN|.'
'Opiate agonists: Fentanyl','Opiate|agonists|:|Fentanyl','JJ|NNS|:|NN'
"'Oral contraceptives and other hormonal methods of birth control should not be used as the sole method of contraception in women taking nevirapine, since nevirapine may lower the plasma levels of these medications. An alternative or additional method of contraception is recommended.'","'Oral|contraceptives|and|other|hormonal|methods|of|birth|control|should|not|be|used|as|the|sole|method|of|contraception|in|women|taking|nevirapine|,|since|nevirapine|may|lower|the|plasma|levels|of|these|medications.|An|alternative|or|additional|method|of|contraception|is|recommended|.'","'JJ|NNS|CC|JJ|JJ|NNS|IN|NN|NN|MD|RB|VB|VBN|IN|DT|JJ|NN|IN|NN|IN|NNS|VBG|NN|,|IN|NN|MD|VB|DT|NN|NNS|IN|DT|NN|DT|JJ|CC|JJ|NN|IN|NN|VBZ|VBN|.'"
'Oral contraceptives: Ethinyl estradiol and Norethindrone*','Oral|contraceptives|:|Ethinyl|estradiol|and|Norethindrone*','JJ|NNS|:|NN|NN|CC|NN'
'PK','PK','NN'
'Plasma concentrations may be altered. Nevirapine should not be coadministered with another NNRTI as this combination has not been shown to be beneficial.','Plasma|concentrations|may|be|altered.|Nevirapine|should|not|be|coadministered|with|another|NNRTI|as|this|combination|has|not|been|shown|to|be|beneficial|.','NN|NNS|MD|VB|VBN|NNP|MD|RB|VB|VBN|IN|DT|NN|IN|DT|NN|VBZ|RB|VBN|VBN|TO|VB|JJ|.'
'Plasma concentrations may be decreased.','Plasma|concentrations|may|be|decreased|.','NN|NNS|MD|VB|VBN|.'
'Plasma concentrations may be increased.','Plasma|concentrations|may|be|increased|.','NN|NNS|MD|VB|VBN|.'
'Plasma concentrations of boceprevir may be decreased due to induction of CYP3A4/5 by nevirapine.','Plasma|concentrations|of|boceprevir|may|be|decreased|due|to|induction|of|CYP3A4/5|by|nevirapine|.','NN|NNS|IN|NN|MD|VB|VBN|JJ|TO|NN|IN|NN|IN|NN|.'
'Plasma concentrations of nevirapine and the anticonvulsant may be decreased.','Plasma|concentrations|of|nevirapine|and|the|anticonvulsant|may|be|decreased|.','NN|NNS|IN|NN|CC|DT|NN|MD|VB|VBN|.'
'Plasma concentrations of telaprevir may be decreased due to induction of CYP3A4 by nevirapine and plasma concentrations of nevirapine may be increased due to inhibition of CYP3A4 by telaprevir.','Plasma|concentrations|of|telaprevir|may|be|decreased|due|to|induction|of|CYP3A4|by|nevirapine|and|plasma|concentrations|of|nevirapine|may|be|increased|due|to|inhibition|of|CYP3A4|by|telaprevir|.','NN|NNS|IN|NN|MD|VB|VBN|JJ|TO|NN|IN|NN|IN|NN|CC|NN|NNS|IN|NN|MD|VB|VBN|JJ|TO|NN|IN|NN|IN|NN|.'
'Plasma concentrations of boceprevir may be decreased due to induction of CYP3A4/5 by nevirapine','Plasma|concentrations|of|boceprevir|may|be|decreased|due|to|induction|of|CYP3A4/5|by|nevirapine','NN|NNS|IN|NN|MD|VB|VBN|JJ|TO|NN|IN|NN|IN|NN'
'Potential effect on anticoagulation. Monitoring of anticoagulation levels is recommended.','Potential|effect|on|anticoagulation.|Monitoring|of|anticoagulation|levels|is|recommended|.','JJ|NN|IN|JJ|NN|IN|NN|NNS|VBZ|VBN|.'
"'Potential increase in the risk of methotrexate associated toxic reactions. Therefore, carefully monitor patients under methotrexate therapy when concomitant ciprofloxacin therapy is indicated.'","'Potential|increase|in|the|risk|of|methotrexate|associated|toxic|reactions.|Therefore|,|carefully|monitor|patients|under|methotrexate|therapy|when|concomitant|ciprofloxacin|therapy|is|indicated|.'","'JJ|NN|IN|DT|NN|IN|NN|JJ|JJ|NN|RB|,|RB|NN|NNS|IN|NN|NN|WRB|JJ|NN|NN|VBZ|VBN|.'"
'Potentiation of ciprofloxacin toxicity may occur.','Potentiation|of|ciprofloxacin|toxicity|may|occur|.','NN|IN|NN|NN|MD|VB|.'
'Potentiation of ciprofloxacin toxicity may occur. ','Potentiation|of|ciprofloxacin|toxicity|may|occur|.','NN|IN|NN|NN|MD|VB|.'
'Potentiation of ciprofloxacin toxicity may occur. ','Potentiation|of|ciprofloxacin|toxicity|may|occur|.','NN|IN|NN|NN|MD|VB|.'
'Probenecid','Probenecid','NNP'
'Probenecid ','Probenecid','NNP'
'Probenecid ','Probenecid','NNP'
'Re-evaluatedosing.','Re-evaluatedosing|.','JJ|.'
'Re-evaluatedosing.','Re-evaluatedosing|.','JJ|.'
'Re-evaluatedosing.','Re-evaluatedosing|.','JJ|.'
'Re-evaluatedosing.','Re-evaluatedosing|.','JJ|.'
'Re-evaluatedosing.','Re-evaluatedosing|.','JJ|.'
'Re-evaluatedosing.Donotexceed8mg/day','Re-evaluatedosing.Donotexceed8mg/day','NN'
'Re-evaluatedosing.Donotexceed8mg/day','Re-evaluatedosing.Donotexceed8mg/day','NN'
'Re-evaluatedosing.Donotexceed8mg/day','Re-evaluatedosing.Donotexceed8mg/day','NN'
"'Rifabutin and its metabolite concentrations were moderately increased. Due to high intersubject variability, however, some patients may experience large increases in rifabutin exposure and may be at higher risk for rifabutin toxicity. Therefore, caution should be used in concomitant administration.'","'Rifabutin|and|its|metabolite|concentrations|were|moderately|increased.|Due|to|high|intersubject|variability|,|however|,|some|patients|may|experience|large|increases|in|rifabutin|exposure|and|may|be|at|higher|risk|for|rifabutin|toxicity.|Therefore|,|caution|should|be|used|in|concomitant|administration|.'","'NN|CC|PRP$|NN|NNS|VBD|RB|RB|JJ|TO|JJ|JJ|NN|,|RB|,|DT|NNS|MD|VB|JJ|NNS|IN|NN|NN|CC|MD|VB|IN|JJR|NN|IN|NN|NN|RB|,|NN|MD|VB|VBN|IN|JJ|NN|.'"
'Rifabutin*','Rifabutin*','NNP'
'Rifampin*','Rifampin*','NNP'
'Risperidone','Risperidone','NN'
'Risperidone','Risperidone','NN'
'Risperidone','Risperidone','NN'
'Risperidone','Risperidone','NN'
'Risperidone','Risperidone','NN'
'Risperidone','Risperidone','NN'
'Saquinavir/Ritonavir ','Saquinavir/Ritonavir','NN'
